index,id,title,source,slot,section,cost,complexity,rulesSchemaVersion,migrationSource,convertedFrom,isStructured,balanceProfileSource,currentAbilityCount,attackPatternStatus,actionEconomy,usageType,damageBudgetRoles,damageTypes,conditionNames,parityStatus,effectCount,conditionalDamageCount,hasAreaTargeting,hasAreaEffect,hasOngoing,hasDefense,hasSummon,hasProcedure,hasMultiattack,hasMultiattackParticipation,referenceCount,fitPresent,compatibilityOverride,anatomyConstraintOverride,anatomyGrantOverride,mechanicOverride,parityReviewFlags,parityReviewRequired
11,empowered-slam,Juggernaut,decomposition,attack,action,4,1,monster-graft-rules-v1.12,content-conversion-v1.1,existing-structured-rules,true,balanceProfile,3,authored-routine,action,atWill|recharge,mainAttack|rechargeControl,bludgeoning|acid,grappled|restrained,unreviewed,0,0,true,false,false,false,false,false,true,true,0,true,false,false,false,false,healing-review|reach-review,true
12,acid-vomit,Acid Brute,decomposition,attack,action,6,3,monster-graft-rules-v1.16|monster-graft-rules-v1.12,content-conversion-v1.1,legacy-mechanics|existing-structured-rules,true,balanceProfile,2,authored-routine,action,atWill|recharge,mainAttack|minorAttack|rechargeControl,bludgeoning|acid,,mixed,0,1,true,false,false,false,false,false,true,true,0,true,false,true,false,true,healing-review,true
13,corpse-grab,Grappler,decomposition,attack,action,4,2,monster-graft-rules-v1.16|monster-graft-rules-v1.12,content-conversion-v1.1,legacy-mechanics|existing-structured-rules,true,balanceProfile,2,authored-routine,action,atWill,mainAttack|minorAttack,bludgeoning,grappled|restrained,mixed,0,1,false,false,false,false,false,false,true,true,0,true,false,true,false,true,reach-review,true
14,gas-buildup,Gas Buildup,decomposition,twist,trait,4,3,monster-graft-rules-v1.16,phase6r-twist-editorial-review,legacy-mechanics,true,balanceProfile,2,not-applicable,passive|freeTrigger,passive|triggered,reactionPunish,poison|thunder,,verified,0,0,true,true,false,false,false,true,false,false,0,true,true,false,false,false,,false
15,unstable-rupture,Unstable Rupture,decomposition,twist,reaction,4,2,monster-graft-rules-v1.16,phase6r-twist-editorial-review,legacy-mechanics,true,balanceProfile,1,not-applicable,reaction,triggered,reactionPunish,poison|slashing,,verified,0,0,true,true,false,false,false,false,false,false,0,true,true,false,false,true,,false
16,dangerously-unstable,Dangerously Unstable,decomposition,twist,reaction,7,3,monster-graft-rules-v1.16,phase6r-twist-editorial-review,legacy-mechanics,true,balanceProfile,1,not-applicable,freeTrigger,limited,rechargeBurst,poison|thunder,prone,verified,0,0,true,true,false,false,false,false,false,false,0,true,true,false,false,true,,false
17,undead-fortitude,Undead Fortitude,decomposition,twist,trait,4,1,monster-graft-rules-v1.16,phase6r-twist-editorial-review,legacy-mechanics,true,balanceProfile,1,not-applicable,freeTrigger,triggered,,,,verified,0,0,false,false,false,false,false,false,false,false,0,true,true,false,false,false,,false
18,siege-corpse,Siege Monster,decomposition,twist,trait,3,2,monster-graft-rules-v1.16,phase6r-twist-editorial-review,legacy-mechanics,true,balanceProfile,2,not-applicable,passive|freeTrigger,passive|limited,,,,verified,0,0,true,true,false,false,false,false,false,false,0,true,false,false,false,false,,false
19,head-weak-spot,Head Weak Spot,decomposition,weakness,trait,-2,1,monster-graft-rules-v1.16,phase6-support-graft-migration,legacy-mechanics,true,balanceProfile,1,not-applicable,passive,passive,,,,verified,1,0,false,false,false,false,false,false,false,false,0,true,false,false,false,false,,false
20,mechanical-stress,Mechanical Stress,decomposition,weakness,trait,-2,2,monster-graft-rules-v1.16,phase6-support-graft-migration,legacy-mechanics,true,balanceProfile,1,not-applicable,passive,passive,,,blinded|prone,verified,2,0,false,false,false,false,false,true,false,false,0,true,false,false,false,false,,false
21,radiant-preservation-failure,Radiant Preservation Failure,decomposition,weakness,trait,-1,1,monster-graft-rules-v1.16,phase6-support-graft-migration,legacy-mechanics,true,balanceProfile,1,not-applicable,passive,passive,,,,verified,0,0,false,false,false,false,false,false,false,false,0,true,false,false,false,false,,false
22,corpse-bloom-death,Corpse Bloom Death,decomposition,death,death,3,2,monster-graft-rules-v1.16,phase6-support-graft-migration,legacy-mechanics,true,balanceProfile,1,not-applicable,deathTrigger,death,,,,verified,0,0,false,true,false,false,false,false,false,false,0,true,true,false,false,false,,false
23,toxic-detonation,Toxic Detonation,decomposition,death,death,5,2,monster-graft-rules-v1.16,phase6-support-graft-migration,legacy-mechanics,true,balanceProfile,1,not-applicable,deathTrigger,death,deathBurst,poison,poisoned,verified,0,0,true,false,false,false,false,false,false,false,0,true,true,false,false,true,,false
24,purge-fluid-flood,Purge Fluid Flood,decomposition,death,death,4,2,monster-graft-rules-v1.16,phase6-support-graft-migration,legacy-mechanics,true,balanceProfile,1,not-applicable,deathTrigger,death,,,prone,verified,0,0,true,true,false,false,false,false,false,false,0,true,true,false,false,false,,false
25,choking-air,Choking Air,decomposition,lair,lairAction,5,3,monster-graft-rules-v1.16,phase6-support-graft-migration,legacy-mechanics,true,balanceProfile,1,not-applicable,lairAction,lair,,,,verified,0,0,true,true,false,false,false,false,false,false,0,true,false,false,false,false,,false
26,corpse-pressure-room,Corpse Pressure Room,decomposition,lair,lairAction,6,3,monster-graft-rules-v1.16,phase6-support-graft-migration,legacy-mechanics,true,balanceProfile,1,not-applicable,lairAction,lair,,,,verified,0,0,true,true,false,false,false,false,false,false,0,true,true,false,false,false,,false
27,shame-hunger,Funeral Hunger,jikininki,mind,trait,3,2,monster-graft-rules-v1.16,phase6r-mind-editorial-review,legacy-mechanics,true,balanceProfile,2,not-applicable,passive,passive,,,,verified,0,0,false,false,false,true,false,false,false,false,0,true,true,false,false,false,,false
28,corpse-craving,Corpse Hunger,jikininki,mind,trait,1,2,monster-graft-rules-v1.16,phase6r-mind-editorial-review,legacy-mechanics,true,balanceProfile,2,not-applicable,passive|bonusAction,passive|atWill,,,,verified,0,0,false,false,false,false,false,true,false,false,0,true,true,false,false,false,advantage-disadvantage-review,true
29,nocturnal-haunting,Night Hunter,jikininki,mind,trait,2,2,monster-graft-rules-v1.16,phase6r-mind-editorial-review,legacy-mechanics,true,balanceProfile,2,not-applicable,passive|bonusAction,passive|atWill,,,,verified,0,0,false,false,false,false,false,true,false,false,0,true,false,false,false,false,advantage-disadvantage-review,true
30,ethereal-sight,Ethereal Sight,jikininki,body,trait,4,2,monster-graft-rules-v1.16,phase6r-body-editorial-review,legacy-mechanics,true,balanceProfile,2,not-applicable,passive|bonusAction,passive|atWill,,,,verified,0,0,false,false,false,false,false,true,false,false,0,true,true,true,true,false,,false
31,incorporeal-movement,Incorporeal Movement,jikininki,movement,trait,3,2,monster-graft-rules-v1.16,phase6r-movement-editorial-review,legacy-mechanics,true,balanceProfile,1,not-applicable,passive,passive,,,,verified,0,0,false,false,false,false,false,true,false,false,0,true,true,true,false,false,,false
32,grave-bite,Grave Eater,jikininki,attack,action,3,1,monster-graft-rules-v1.12,content-conversion-v1.1,legacy-mechanics,true,balanceProfile,2,authored-routine,action,atWill,mainAttack,necrotic|piercing,restrained,unreviewed,0,0,true,true,false,false,false,false,true,true,0,true,true,true,false,true,healing-review,true
33,infected-bite,Plague Eater,jikininki,attack,action,4,2,monster-graft-rules-v1.12,content-conversion-v1.1,legacy-mechanics,true,balanceProfile,3,authored-routine,action,atWill,mainAttack,necrotic|piercing,restrained,unreviewed,0,0,true,true,false,false,false,false,true,true,0,true,false,true,false,true,healing-review,true
34,purulent-bite,Rot Eater,jikininki,attack,action,6,3,monster-graft-rules-v1.12,content-conversion-v1.1,legacy-mechanics,true,balanceProfile,3,authored-routine,action,atWill,mainAttack,piercing|necrotic,restrained,unreviewed,0,0,true,true,false,false,false,false,true,true,0,true,false,true,false,true,healing-review,true
35,horrific-apparition,Horrific Apparition,jikininki,horror,action,5,2,monster-graft-rules-v1.16,phase6r-horror-editorial-review,legacy-mechanics,true,balanceProfile,1,not-applicable,action,recharge,rechargeControl,psychic,frightened,verified,0,0,true,false,false,false,false,false,false,false,0,true,false,false,false,true,damage-defense-review,true
36,corpse-tendrils,Corpse Binder,jikininki,attack,action,5,3,monster-graft-rules-v1.12,content-conversion-v1.1,legacy-mechanics,true,balanceProfile,2,authored-routine,action,atWill,mainAttack,necrotic|piercing,restrained,unreviewed,0,0,true,true,false,false,false,false,true,true,0,true,true,true,false,true,healing-review,true
37,flesh-harvest,Flesh Harvest,jikininki,twist,trait,5,3,monster-graft-rules-v1.16,phase6r-twist-editorial-review,legacy-mechanics,true,balanceProfile,2,not-applicable,action|passive,limited|passive,,,,verified,0,0,false,false,false,false,false,true,false,false,0,true,true,false,false,true,,false
38,deceitful-apparition,Dead Impostor,jikininki,mind,trait,2,2,monster-graft-rules-v1.16,phase6r-mind-editorial-review,legacy-mechanics,true,balanceProfile,1,not-applicable,passive,passive,,,,verified,0,0,false,false,false,false,false,false,false,false,0,true,true,false,false,false,,false
39,mortal-afterlife,Stolen Life,jikininki,mind,trait,1,2,monster-graft-rules-v1.16,phase6r-mind-editorial-review,legacy-mechanics,true,balanceProfile,1,not-applicable,passive,passive,,,,verified,0,0,false,false,false,false,false,true,false,false,0,true,true,false,false,false,,false
40,vanish-spirit,Vanish,jikininki,movement,bonusAction,3,2,monster-graft-rules-v1.16,phase6r-movement-editorial-review,legacy-mechanics,true,balanceProfile,1,not-applicable,bonusAction,limited,,,invisible,verified,0,0,false,false,false,false,false,true,false,false,0,true,false,true,false,false,,false
41,cunning-action-spirit,Cunning Action,jikininki,movement,bonusAction,3,2,monster-graft-rules-v1.16,phase6r-movement-editorial-review,legacy-mechanics,true,balanceProfile,1,not-applicable,bonusAction,atWill,,,,verified,0,0,false,false,false,false,false,true,false,false,0,true,false,false,false,false,,false
42,horrific-assault,Horrific Assault,jikininki,twist,trait,4,3,monster-graft-rules-v1.16,phase6r-twist-editorial-review,legacy-mechanics,true,balanceProfile,2,not-applicable,passive|freeTrigger,passive|limited,,,,verified,0,0,false,false,false,false,false,true,false,false,0,true,false,false,false,false,,false
43,no-witnesses-rage,Witness Rage,jikininki,twist,reaction,4,2,monster-graft-rules-v1.16,phase6r-twist-editorial-review,legacy-mechanics,true,balanceProfile,1,not-applicable,reaction,limited,minorAttack,necrotic,,verified,0,0,false,false,false,false,false,true,false,false,0,true,true,false,false,false,,false
44,daytime-weakness,Daytime Weakness,jikininki,weakness,trait,-3,1,monster-graft-rules-v1.16,phase6-support-graft-migration,legacy-mechanics,true,balanceProfile,1,not-applicable,passive,passive,,,,verified,1,0,false,false,false,false,false,false,false,false,0,true,false,false,false,false,,false
45,shameful-feeding,Shameful Feeding,jikininki,weakness,trait,-2,2,monster-graft-rules-v1.16,phase6-support-graft-migration,legacy-mechanics,true,balanceProfile,1,not-applicable,passive,passive,,,frightened,verified,1,0,false,false,false,true,false,false,false,false,0,true,false,false,false,false,,false
46,dangerous-hunger,Dangerous Hunger,jikininki,weakness,trait,-2,1,monster-graft-rules-v1.16,phase6-support-graft-migration,legacy-mechanics,true,balanceProfile,1,not-applicable,passive,passive,,,,verified,0,0,false,false,false,false,false,false,false,false,0,true,true,false,false,false,,false
47,salt-and-names,Salt and True Names,jikininki,weakness,trait,-2,1,monster-graft-rules-v1.16,phase6-support-graft-migration,legacy-mechanics,true,balanceProfile,1,not-applicable,passive,passive,,,,verified,0,0,false,false,false,false,false,false,false,false,0,true,false,false,false,false,,false
48,spectral-dust-death,Spectral Dust,jikininki,death,death,2,1,monster-graft-rules-v1.16,phase6-support-graft-migration,legacy-mechanics,true,balanceProfile,1,not-applicable,deathTrigger,death,,,,verified,0,0,false,false,false,false,false,false,false,false,0,true,false,false,false,false,,false
49,last-meal-memory,Last Meal Memory,jikininki,death,death,3,2,monster-graft-rules-v1.16,phase6-support-graft-migration,legacy-mechanics,true,balanceProfile,1,not-applicable,deathTrigger,death,,,frightened,verified,0,0,true,false,false,false,false,false,false,false,0,true,true,false,false,false,,false
50,funeral-silence-lair,Funeral Silence,jikininki,lair,lairAction,4,3,monster-graft-rules-v1.16,phase6-support-graft-migration,legacy-mechanics,true,balanceProfile,1,not-applicable,lairAction,lair,,,,verified,1,0,true,true,false,false,false,false,false,false,0,true,false,false,false,false,,false
51,graveyard-offerings-lair,Graveyard Offerings,jikininki,lair,lairAction,4,2,monster-graft-rules-v1.16,phase6-support-graft-migration,legacy-mechanics,true,balanceProfile,1,not-applicable,lairAction,lair,,,,verified,0,0,true,true,false,false,false,false,false,false,0,true,true,false,false,false,,false
52,maternal-swarm-instinct,Brood Guard,wolf-spiders,mind,trait,2,2,monster-graft-rules-v1.16,phase6r-mind-editorial-review,legacy-mechanics,true,balanceProfile,2,not-applicable,passive|reaction,passive|reaction,,,,verified,0,0,false,false,false,false,false,true,false,false,0,true,true,true,false,false,,false
53,egg-carrier,Egg Carrier,wolf-spiders,body,trait,6,3,monster-graft-rules-v1.16,phase6r-body-editorial-review,legacy-mechanics,true,balanceProfile,2,not-applicable,passive,passive,,,,verified,0,0,false,false,false,false,true,false,false,false,0,true,true,true,true,true,armor-class-state-review|damage-defense-review|movement-state-review,true
54,spider-climb,Spider Climb,wolf-spiders,body,trait,3,1,monster-graft-rules-v1.16,phase6r-body-editorial-review,legacy-mechanics,true,balanceProfile,1,not-applicable,passive,passive,,,,verified,0,0,false,false,false,false,false,false,false,false,0,true,true,true,true,false,damage-defense-review|movement-state-review,true
55,web-walker,Web Walker,wolf-spiders,body,trait,3,1,monster-graft-rules-v1.16,phase6r-body-editorial-review,legacy-mechanics,true,balanceProfile,1,not-applicable,passive,passive,,,,verified,0,0,false,false,false,false,false,false,false,false,0,true,true,true,true,false,,false
56,barbed-chitin,Barbed Chitin,wolf-spiders,body,trait,3,1,monster-graft-rules-v1.16,phase6r-body-editorial-review,legacy-mechanics,true,balanceProfile,1,not-applicable,passive,passive,reactionPunish,piercing,,verified,0,0,false,false,false,false,false,false,false,false,0,true,true,true,true,false,grapple-review,true
57,umbral-skin,Shadow Skin,wolf-spiders,body,trait,5,2,monster-graft-rules-v1.16,phase6r-body-editorial-review,legacy-mechanics,true,balanceProfile,1,not-applicable,passive,passive,,,,verified,0,0,false,false,false,false,false,false,false,false,0,true,true,false,false,false,advantage-disadvantage-review,true
58,malformed-broodling,Broodling,wolf-spiders,body,trait,1,1,monster-graft-rules-v1.16,phase6r-body-editorial-review,legacy-mechanics,true,balanceProfile,1,not-applicable,passive,passive,,,,verified,0,0,true,false,false,false,false,false,false,false,0,true,true,true,false,false,grapple-review|healing-review,true
59,hundred-eyed,Many Eyes,wolf-spiders,mind,trait,3,2,monster-graft-rules-v1.16,phase6r-mind-editorial-review,legacy-mechanics,true,balanceProfile,2,not-applicable,passive|bonusAction,passive|atWill,,,,verified,0,0,false,false,false,false,false,true,false,false,0,true,false,true,false,false,,false
60,wall-crawler,Wall Stalker,wolf-spiders,movement,trait,3,2,monster-graft-rules-v1.16,phase6r-movement-editorial-review,legacy-mechanics,true,balanceProfile,2,not-applicable,passive,passive,,,,verified,0,0,false,false,false,false,false,true,false,false,0,true,true,true,true,false,movement-state-review,true
61,web-dancer,Web Swing,wolf-spiders,movement,bonusAction,4,2,monster-graft-rules-v1.16,phase6r-movement-editorial-review,legacy-mechanics,true,balanceProfile,2,not-applicable,bonusAction|passive,atWill|passive,,,,verified,0,0,false,false,false,false,false,true,false,false,0,true,true,true,false,false,damage-defense-review,true
62,shadow-jump,Shadow Step,wolf-spiders,movement,bonusAction,4,2,monster-graft-rules-v1.16,phase6r-movement-editorial-review,legacy-mechanics,true,balanceProfile,1,not-applicable,bonusAction,limited,,,,verified,0,0,false,false,false,false,false,true,false,false,0,true,true,false,false,false,,false
63,predatory-jump,Predatory Leap,wolf-spiders,movement,bonusAction,3,1,monster-graft-rules-v1.16,phase6r-movement-editorial-review,legacy-mechanics,true,balanceProfile,1,not-applicable,bonusAction,atWill,,,,verified,0,0,false,false,false,false,false,true,false,false,0,true,true,true,false,false,,false
64,venomous-bite,Venom Hunter,wolf-spiders,attack,action,4,2,monster-graft-rules-v1.12,content-conversion-v1.1,legacy-mechanics,true,balanceProfile,3,authored-routine,action,atWill|recharge,mainAttack,piercing|poison,paralyzed|poisoned|restrained,unreviewed,0,0,true,false,false,false,false,false,true,true,0,true,false,true,false,false,armor-class-state-review|damage-defense-review,true
65,perforate,Impaler,wolf-spiders,attack,action,3,2,monster-graft-rules-v1.12,content-conversion-v1.1,legacy-mechanics,true,balanceProfile,3,authored-routine,action,atWill|recharge,mainAttack,piercing|poison,paralyzed|poisoned|restrained,unreviewed,0,0,true,false,false,false,false,false,true,true,0,true,false,true,false,false,armor-class-state-review|damage-defense-review|healing-review,true
66,web-recharge,Web Hunter,wolf-spiders,attack,action,4,2,monster-graft-rules-v1.12,content-conversion-v1.1,legacy-mechanics,true,balanceProfile,2,authored-routine,action,atWill|recharge,mainAttack,piercing|poison,paralyzed|poisoned|restrained,unreviewed,0,0,true,false,false,false,false,false,true,true,0,true,true,true,true,true,armor-class-state-review|damage-defense-review,true
67,shadow-web,Shadow Weaver,wolf-spiders,attack,action,5,3,monster-graft-rules-v1.12,content-conversion-v1.1,legacy-mechanics,true,balanceProfile,3,authored-routine,action,atWill|recharge,mainAttack|ongoing,piercing|poison|slashing,paralyzed|poisoned|restrained,unreviewed,0,0,true,false,false,false,false,false,true,true,0,true,true,true,true,true,armor-class-state-review,true
68,venomous-spit,Venom Spitter,wolf-spiders,attack,action,3,1,monster-graft-rules-v1.12,content-conversion-v1.1,legacy-mechanics,true,balanceProfile,2,authored-routine,action,atWill,mainAttack,poison|piercing,paralyzed|poisoned,unreviewed,0,0,false,false,false,false,false,false,true,true,0,true,false,true,false,false,,false
69,brood-injection,Broodmaker,wolf-spiders,attack,action,5,3,monster-graft-rules-v1.12,content-conversion-v1.1,legacy-mechanics,true,balanceProfile,3,authored-routine,action,atWill|recharge,mainAttack|ongoing,piercing|poison,paralyzed|poisoned|restrained,unreviewed,0,0,true,false,false,false,false,false,true,true,0,true,false,true,false,false,armor-class-state-review|damage-defense-review|movement-state-review,true
70,enrage-broodmother,Enrage,wolf-spiders,twist,reaction,4,2,monster-graft-rules-v1.16,phase6r-twist-editorial-review,legacy-mechanics,true,balanceProfile,1,not-applicable,reaction,limited,,,,verified,0,0,false,false,false,false,false,true,false,false,0,true,true,true,false,true,,false
71,web-architect,Web Architect,wolf-spiders,twist,trait,5,3,monster-graft-rules-v1.16,phase6r-twist-editorial-review,legacy-mechanics,true,balanceProfile,2,not-applicable,passive|freeTrigger,passive|limited,,,,verified,0,0,true,true,false,false,false,true,false,false,0,true,true,true,false,false,reach-review,true
72,corrosive-web,Corrosive Web,wolf-spiders,twist,trait,4,2,monster-graft-rules-v1.16,phase6r-twist-editorial-review,legacy-mechanics,true,balanceProfile,1,not-applicable,freeTrigger,triggered,reactionPunish,acid,,verified,0,0,true,true,false,false,false,false,false,false,0,true,true,true,false,true,,false
73,hunter-spider,Patient Hunter,wolf-spiders,mind,trait,2,2,monster-graft-rules-v1.16,phase6r-mind-editorial-review,legacy-mechanics,true,balanceProfile,2,not-applicable,passive|bonusAction,passive|atWill,,,,verified,0,0,false,false,false,false,false,true,false,false,0,true,true,true,false,false,,false
74,thin-legs,Thin Legs,wolf-spiders,weakness,trait,-1,1,monster-graft-rules-v1.16,phase6-support-graft-migration,legacy-mechanics,true,balanceProfile,1,not-applicable,passive,passive,,,,verified,0,0,false,false,false,false,false,false,false,false,0,true,false,true,false,false,,false
75,fear-of-fire,Fear of Fire,wolf-spiders,weakness,trait,-2,1,monster-graft-rules-v1.16,phase6-support-graft-migration,legacy-mechanics,true,balanceProfile,1,not-applicable,passive,passive,,,frightened,verified,0,0,true,false,false,false,false,false,false,false,0,true,false,false,false,false,,false
76,underbelly-weak-spot,Underbelly Weak Spot,wolf-spiders,weakness,trait,-2,1,monster-graft-rules-v1.16,phase6-support-graft-migration,legacy-mechanics,true,balanceProfile,1,not-applicable,passive,passive,,,,verified,1,0,false,false,false,false,false,false,false,false,0,true,false,true,false,false,,false
77,eyes-weak-spot,Eyes Weak Spot,wolf-spiders,weakness,trait,-2,2,monster-graft-rules-v1.16,phase6-support-graft-migration,legacy-mechanics,true,balanceProfile,1,not-applicable,passive,passive,,,blinded,verified,1,0,false,false,false,true,false,false,false,false,0,true,false,true,false,false,,false
78,brood-tell,Brood Tell,wolf-spiders,weakness,trait,-1,1,monster-graft-rules-v1.16,phase6-support-graft-migration,legacy-mechanics,true,balanceProfile,1,not-applicable,passive,passive,,,,verified,0,0,false,false,false,false,false,false,false,false,0,true,true,true,false,false,,false
79,egg-hatch-death,Egg Hatch Death,wolf-spiders,death,death,4,2,monster-graft-rules-v1.16,phase6-support-graft-migration,legacy-mechanics,true,balanceProfile,1,not-applicable,deathTrigger,death,,,,verified,1,0,false,false,false,false,true,false,false,false,0,true,true,true,false,true,,false
80,silk-cocoon-remains,Silk Cocoon Remains,wolf-spiders,death,death,2,1,monster-graft-rules-v1.16,phase6-support-graft-migration,legacy-mechanics,true,balanceProfile,1,not-applicable,deathTrigger,death,,,,verified,0,0,false,false,false,false,false,false,false,false,0,true,false,false,false,false,,false
81,sticky-surroundings,Sticky Surroundings,wolf-spiders,lair,lairAction,5,2,monster-graft-rules-v1.16,phase6-support-graft-migration,legacy-mechanics,true,balanceProfile,1,not-applicable,lairAction,lair,,,,verified,1,0,true,false,false,false,false,false,false,false,0,true,true,false,false,false,,false
82,broodmother-web-lair,Broodmother Web,wolf-spiders,lair,lairAction,4,3,monster-graft-rules-v1.16,phase6-support-graft-migration,legacy-mechanics,true,balanceProfile,1,not-applicable,lairAction,lair,,,,verified,1,0,true,true,false,true,false,false,false,false,0,true,true,true,false,false,,false
83,dense-web-region,Dense Webs,wolf-spiders,lair,lairAction,3,1,monster-graft-rules-v1.16,phase6-support-graft-migration,legacy-mechanics,true,balanceProfile,1,not-applicable,lairAction,lair,,,,verified,1,0,true,false,false,false,false,false,false,false,0,true,true,false,true,false,,false
84,waxen-mask-body,Waxen Flesh,wax-death-masks,body,trait,4,1,monster-graft-rules-v1.16,phase6r-body-editorial-review,legacy-mechanics,true,balanceProfile,1,not-applicable,passive,passive,,,,verified,0,0,false,false,false,false,false,false,false,false,0,true,true,true,true,false,damage-defense-review|healing-review,true
85,borrowed-face,Borrowed Face,wax-death-masks,mind,trait,3,2,monster-graft-rules-v1.16,phase6r-mind-editorial-review,legacy-mechanics,true,balanceProfile,1,not-applicable,passive,passive,,,,verified,0,0,false,false,false,false,false,false,false,false,0,true,true,true,false,false,,false
86,shadow-stillness,Unseen Advance,wax-death-masks,movement,bonusAction,4,3,monster-graft-rules-v1.16,phase6r-movement-editorial-review,legacy-mechanics,true,balanceProfile,1,not-applicable,bonusAction,atWill,,,,verified,0,0,false,false,false,false,false,true,false,false,0,true,true,false,false,false,,false
87,mask-phase,Changing Mask,wax-death-masks,twist,trait,5,3,monster-graft-rules-v1.16,phase6r-twist-editorial-review,legacy-mechanics,true,balanceProfile,1,not-applicable,freeTrigger,limited,,,grappled|restrained,verified,0,0,false,false,false,false,false,true,false,false,0,true,true,true,false,false,advantage-disadvantage-review,true
88,fire-softens-it,Fire Softens It,wax-death-masks,weakness,trait,-2,1,monster-graft-rules-v1.16,phase6-support-graft-migration,legacy-mechanics,true,balanceProfile,1,not-applicable,passive,passive,,,,verified,1,0,false,false,false,false,false,false,false,false,0,true,true,true,false,false,,false
89,cold-funeral-touch,Cold Touch,wax-death-masks,attack,action,3,1,monster-graft-rules-v1.12,content-conversion-v1.2-template-readiness,template-readiness-gap,true,balanceProfile,1,authored-routine,action,atWill,mainAttack,necrotic|cold,,unreviewed,0,0,false,false,false,false,false,false,true,true,0,true,false,false,false,false,,false
90,face-curse,Last Face Curse,wax-death-masks,death,death,4,2,monster-graft-rules-v1.16,phase6-support-graft-migration,legacy-mechanics,true,balanceProfile,1,not-applicable,deathTrigger,death,,,frightened,verified,0,0,false,false,false,false,false,false,false,false,0,true,true,false,false,false,,false
91,stench,Stench,decomposition,horror,trait,3,1,monster-graft-rules-v1.16,phase6r-horror-editorial-review,legacy-mechanics,true,balanceProfile,1,not-applicable,passive,passive,,,poisoned,verified,0,0,true,true,false,false,false,false,false,false,0,true,false,false,false,false,damage-defense-review,true
92,crawling-dread,Crawling Dread,wolf-spiders,horror,trait,4,2,monster-graft-rules-v1.16,phase6r-horror-editorial-review,legacy-mechanics,true,balanceProfile,1,not-applicable,freeTrigger,triggered,,,frightened,verified,0,0,true,false,false,false,false,false,false,false,0,true,false,false,false,false,,false
